,dtype,n_unique,missing_sum,missing_%,example_value,min,max,mean,std
business_id,object,36261,0,0.0,MTSW4McQd7CbVtyjqoe9mw,,,,
city,object,839,0,0.0,Philadelphia,,,,
state,object,15,0,0.0,PA,,,,
latitude,float64,34934,0,0.0,39.9555052,27.5644572387,53.6497432,36.7380500985354,5.841139710718551
longitude,float64,34500,0,0.0,-75.1555641,-120.083748,-74.6644589092,-87.72134500059018,13.602231201039684
review_count,float64,1127,0,0.0,80.0,5.0,7568.0,111.47417335429249,219.8772561028842
is_open,int64,2,0,0.0,1,0.0,1.0,0.8810843606078156,0.3236936818040295
review_count_log1p,float64,1127,0,0.0,4.394449,1.7917595,8.931816,3.9606935576597446,1.1869984800253743
attr_ByAppointmentOnly,int64,3,0,0.0,1,0.0,2.0,0.0895176636055266,0.29564898015846186
attr_BusinessAcceptsCreditCards,int64,3,0,0.0,1,0.0,2.0,1.7079506908248532,0.6902360127756776
attr_BikeParking,int64,3,0,0.0,2,0.0,2.0,1.2896500372300819,0.8512799107568251
attr_RestaurantsPriceRange2,float64,5,0,0.0,1.0,0.0,4.0,1.3056727613689638,0.8028823405440456
attr_RestaurantsTakeOut,int64,3,0,0.0,2,0.0,2.0,1.793965968947354,0.5771843268962855
attr_RestaurantsDelivery,int64,3,0,0.0,1,0.0,2.0,1.4929538622762748,0.7211915148543748
attr_Caters,int64,3,0,0.0,2,0.0,2.0,1.1291470174567717,0.8370918013416525
attr_WiFi,float64,4,0,0.0,1.0,0.0,3.0,1.0916687350045504,0.7578108280427681
attr_WheelchairAccessible,int64,3,0,0.0,0,0.0,2.0,0.6267615344309313,0.9150725168908789
attr_HappyHour,int64,3,0,0.0,0,0.0,2.0,0.48217092744270706,0.78389968600694
attr_OutdoorSeating,int64,3,0,0.0,1,0.0,2.0,1.1691900388847523,0.7605303965287529
attr_HasTV,int64,3,0,0.0,0,0.0,2.0,1.482143349604258,0.78139719253432
attr_RestaurantsReservations,int64,3,0,0.0,0,0.0,2.0,1.066545324177491,0.6675528105718407
attr_DogsAllowed,int64,3,0,0.0,0,0.0,2.0,0.3598080582443948,0.6070141645140763
attr_Alcohol,float64,3,0,0.0,0.0,0.0,2.0,0.48046110145886767,0.6876382013304284
attr_GoodForKids,int64,3,0,0.0,0,0.0,2.0,1.4004026364413558,0.863259292256748
attr_RestaurantsAttire,float64,4,0,0.0,0.0,0.0,3.0,0.7276136896390061,0.5262193418274415
attr_RestaurantsTableService,int64,3,0,0.0,0,0.0,2.0,0.7512478971898182,0.8817925387697549
attr_RestaurantsGoodForGroups,int64,3,0,0.0,0,0.0,2.0,1.4157910702959102,0.8511391742301765
attr_DriveThru,int64,3,0,0.0,0,0.0,2.0,0.23261906731750365,0.5952759923704108
attr_NoiseLevel,float64,5,0,0.0,0.0,0.0,4.0,0.8885855326659496,0.8586519140730894
attr_Smoking,int64,3,0,0.0,0,0.0,2.0,0.05328038388351121,0.23852959533912999
total_weekly_hours,float64,178,0,0.0,0.0,0.0,129.0,1.8015177008356087,9.473212590925911
days_open,float64,8,0,0.0,0.0,0.0,7.0,0.1889081933758032,0.9299511412323279
weekend_hours,float64,81,0,0.0,0.0,0.0,37.0,0.4568705592785638,2.6085089148366185
avg_daily_hours,float64,175,0,0.0,0.0,0.0,21.0,0.4918818234935606,2.2169441487529205
has_hours_info,int64,2,0,0.0,0,0.0,1.0,0.05226000386089738,0.22255395254839783
cat__Sandwiches,float64,2,0,0.0,0.0,0.0,1.0,0.17010010755356994,0.3757259029212953
cat__American (Traditional),float64,2,0,0.0,0.0,0.0,1.0,0.1662116323322578,0.3722756339042718
cat__Pizza,float64,2,0,0.0,0.0,0.0,1.0,0.14312898155042608,0.350209163950607
cat__Fast Food,float64,2,0,0.0,0.0,0.0,1.0,0.14368053831940653,0.3507703442429647
cat__Breakfast & Brunch,float64,2,0,0.0,0.0,0.0,1.0,0.13521414191555667,0.3419568723427219
cat__American (New),float64,2,0,0.0,0.0,0.0,1.0,0.11271062574115441,0.31624310053739385
cat__Burgers,float64,2,0,0.0,0.0,0.0,1.0,0.12274895893659855,0.32815335092861875
cat__Mexican,float64,2,0,0.0,0.0,0.0,1.0,0.096163922671741,0.2948199784297051
